Country,SiteID,SiteName,StudyNumber,Measure_Year,Measure_Month,Measure_DOY,Lat_Original,Long_Original,Latitude,Longitude,RS_Paper,RS_Norm,Tsoil(C),SoilMoisture(%),Meas_Method,IGBP_FromPaper,Ecosystem_type,Leaf_habit,DOY_Frequency,Tm,Comments
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,8,243,45.5,-93.17,45.75,-93.25,0.533,3.364,9.502,,IRGA,DBF,Forest,Deciduous,15,18.8,GMC co2/m2/hr to C/m2/day
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,8,243,45.5,-93.17,45.75,-93.25,0.737,4.651,9.502,,IRGA,DBF,Forest,Deciduous,15,18.8,GMC co2/m2/hr to C/m2/hr
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,9,251,45.5,-93.17,45.75,-93.25,0.519,3.275,7.433,,IRGA,DBF,Forest,Deciduous,9,15,GMC co2/m2/hr to C/m2/hr
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,9,251,45.5,-93.17,45.75,-93.25,0.419,2.644,7.433,,IRGA,DBF,Forest,Deciduous,9,15,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,9,251,45.5,-93.17,45.75,-93.25,0.514,3.244,7.433,,IRGA,DBF,Forest,Deciduous,9,15,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,9,259,45.5,-93.17,45.75,-93.25,0.397,2.505,7.835,,IRGA,DBF,Forest,Deciduous,9,15,GMC co2/m2/hr to C/m2/day
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,9,259,45.5,-93.17,45.75,-93.25,0.391,2.467,7.835,,IRGA,DBF,Forest,Deciduous,9,15,GMC co2/m2/hr to C/m2/day
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,9,259,45.5,-93.17,45.75,-93.25,0.514,3.244,7.835,,IRGA,DBF,Forest,Deciduous,9,15,GMC co2/m2/hr to C/m2/hr
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,9,265,45.5,-93.17,45.75,-93.25,0.366,2.31,7.162,,IRGA,DBF,Forest,Deciduous,9,15,GMC co2/m2/hr to C/m2/hr
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,9,265,45.5,-93.17,45.75,-93.25,0.366,2.31,7.162,,IRGA,DBF,Forest,Deciduous,9,15,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,9,265,45.5,-93.17,45.75,-93.25,0.366,2.31,7.162,,IRGA,DBF,Forest,Deciduous,9,15,GMC co2/m2/hr to C/m2/day
India,IN-KUR,Kurukshetra,267,1975,10,275,29.58,76.51,29.75,76.75,353.8,2.31,,,Soda lime,GRA,Grassland,Deciduous,10,25.5,Stand I a
India,IN-KUR,Kurukshetra,267,1975,10,276,29.58,76.51,29.75,76.75,263.7,1.722,,,Soda lime,GRA,Grassland,Deciduous,10,25.5,Stand I a
India,IN-KUR,Kurukshetra,267,1975,10,277,29.58,76.51,29.75,76.75,346.35,2.262,,,Soda lime,GRA,Grassland,Deciduous,10,25.5,Stand III a
India,IN-KUR,Kurukshetra,267,1975,10,286,29.58,76.51,29.75,76.75,245.351,1.602,27.64,,Soda lime,GRA,Grassland,Deciduous,10,25.5,Stand II a
India,IN-KUR,Kurukshetra,267,1975,10,287,29.58,76.51,29.75,76.75,204.026,1.332,,,Soda lime,GRA,Grassland,Deciduous,10,25.5,Stand I a
India,IN-KUR,Kurukshetra,267,1975,10,287,29.58,76.51,29.75,76.75,385.103,2.515,,,Soda lime,GRA,Grassland,Deciduous,10,25.5,Stand III a
India,IN-KUR,Kurukshetra,267,1975,10,300,29.58,76.51,29.75,76.75,199.29,1.301,,,Soda lime,GRA,Grassland,Deciduous,10,25.5,Stand I a
India,IN-KUR,Kurukshetra,267,1975,10,300,29.58,76.51,29.75,76.75,206.182,1.346,24,,Soda lime,GRA,Grassland,Deciduous,10,25.5,Stand II a
India,IN-KUR,Kurukshetra,267,1975,10,301,29.58,76.51,29.75,76.75,310.956,2.031,,,Soda lime,GRA,Grassland,Deciduous,10,25.5,Stand III a
India,IN-KUR,Kurukshetra,267,1975,10,302,29.58,76.51,29.75,76.75,143.201,0.935,22,,Soda lime,GRA,Grassland,Deciduous,10,25.5,Stand II a
India,IN-KUR,Kurukshetra,267,1976,4,97,29.58,76.51,29.75,76.75,228.958,1.495,,,Soda lime,GRA,Grassland,Deciduous,9,26.8,Stand III a
India,IN-KUR,Kurukshetra,267,1976,4,98,29.58,76.51,29.75,76.75,159,1.038,24.628,,Soda lime,GRA,Grassland,Deciduous,9,26.8,Stand II a
India,IN-KUR,Kurukshetra,267,1976,4,100,29.58,76.51,29.75,76.75,175.608,1.147,,,Soda lime,GRA,Grassland,Deciduous,9,26.8,Stand I a
